LEGAJO	CARRERA	FECHA_INGRESO	FECHA_INSCRIPCION	MODALIDAD_DES	MATERIAS APROBADAS CARRERA	MATERIAS REGULARES	PROMEDIO CON APLAZO	PROMEDIO SIN APLAZO	GENERO	COHORTE	PERIODO	SUBPERIODO	INGR / REINSC	FECHA_PAGO_MATRICULA	PROVINCIA_ALUMNO	ESTADO	ULTIMA_MATRICULA	ULTIMO_ARANCEL	NPS
1151	Abogacía	24/8/2023	24/8/2023	Distancia - MTD	0	0	0	0	Femenino	2024	feb-23	B-2-2023	Ingresante	24/8/2023	Misiones	MATRICULA PAGA	ene-24	ene-24	8
1152	Abogacía	2/2/2022	5/6/2023	Distancia - MTD	22	1	7	7,5	Femenino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	10
1153	Abogacía	13/11/2019	3/8/2023	Distancia - MTD	15	0	9	9,3	Masculino	2020	feb-23	A-2-2023	Reinscripto	3/8/2023	Rio Negro	MATRICULA PAGA	ene-24	ene-24	10
1154	Licenciatura En Educación - Ciclo	28/2/2023	20/9/2023	Distancia - MTD	0	0	0	0	Femenino	2023	feb-23	B-2-2023	Reinscripto	20/9/2023	San Juan	MATRICULA PAGA	feb-23	feb-23	4
1155	Licenciatura En Psicología	19/1/2021	15/6/2023	PRESENCIAL.	23	0	8	8,3	Femenino	2021	feb-23	A-2-2023	Reinscripto	15/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	6
1156	Abogacía	7/7/2022	15/6/2023	Distancia - MTD	24	1	8	8,21	Femenino	2022	feb-23	A-2-2023	Reinscripto	15/6/2023	Mendoza	MATRICULA PAGA	feb-24	feb-24	4
1157	Contador Público	7/12/2022	12/6/2023	Distancia - MTD	11	1	8	8,36	Masculino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
1158	Tecnicatura En Dirección De Protocolo, Organización De Eventos Y Relaciones Públicas	14/8/2021	17/7/2023	Distancia - MTD	18	0	7	6,67	Femenino	2021	feb-23	A-2-2023	Reinscripto	17/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
1159	Abogacía	6/7/2020	4/7/2023	Distancia - ED	17	0	8	8,02	Masculino	2020	feb-23	A-2-2023	Reinscripto	4/7/2023	Santa Fe	MATRICULA PAGA	feb-23	ene-23	10
1160	Licenciatura En Educación - Ciclo	3/3/2023	8/6/2023	Distancia - MTD	10	0	7	6,9	Femenino	2023	feb-23	A-2-2023	Reinscripto	8/6/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	8
1161	Abogacía	12/11/2012	28/7/2023	Distancia - ED	3	0	8	7,8	Masculino	2014	feb-23	A-2-2023	Reinscripto	28/7/2023	Mendoza	MATRICULA PAGA	ene-24	feb-23	10
1162	Licenciatura En Gestión Ambiental	21/6/2022	5/6/2023	Distancia - MTD	21	0	9	8,81	Femenino	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Santa Fe	MATRICULA PAGA	feb-24	feb-24	5
1163	Licenciatura En Ciencia De Datos	15/5/2023	19/6/2023	Distancia - MTD	3	0	8	8,14	Femenino	2023	feb-23	A-2-2023	Reinscripto	19/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	6
1164	Licenciatura En Gestión Ambiental	23/5/2019	14/9/2023	Distancia - MTD	18	0	6	6,42	Masculino	2019	feb-23	B-2-2023	Reinscripto	14/9/2023	San Juan	MATRICULA PAGA	feb-23	ene-23	10
1165	Tecnicatura Universitaria En Marketing Y Publicidad Digital	21/4/2023	15/6/2023	Distancia - MTD	6	0	8	8,33	Femenino	2023	feb-23	A-2-2023	Reinscripto	15/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	8
1166	Contador Público	23/6/2021	26/6/2023	Distancia - MTD	18	1	8	8,33	Femenino	2022	feb-23	A-2-2023	Reinscripto	26/6/2023	San Luis	MATRICULA PAGA	ene-24	ene-24	10
1167	Licenciatura En Gestión De Recursos Humanos	12/4/2017	21/6/2023	Distancia - MTD	25	0	7	6,6	Femenino	2017	feb-23	A-2-2023	Reinscripto	21/6/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	6
1168	Licenciatura En Comercialización	28/7/2022	1/8/2023	Distancia - MTD	15	0	7	7,44	Femenino	2022	feb-23	A-2-2023	Reinscripto	1/8/2023	Cordoba	BAJA CARRERA	ene-24	ene-24	9
1169	Licenciatura En Criminología Y Seguridad	29/12/2021	12/6/2023	Distancia - ED	24	1	9	8,63	Femenino	2022	feb-23	A-2-2023	Reinscripto	12/6/2023	Tucuman	MATRICULA PAGA	ene-24	ene-24	10
1170	Abogacía	9/9/2019	11/9/2023	Presencial HOME  Río Cuarto	15	0	9	9,18	Masculino	2020	feb-23	B-2-2023	Reinscripto	11/9/2023	Cordoba	MATRICULA PAGA	feb-23	ene-23	10
1171	Abogacía	1/3/2023	12/6/2023	Distancia - ED	6	3	7	7,67	Masculino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Santiago Del Estero	MATRICULA PAGA	ene-24	ene-24	9
1172	Contador Público	22/4/2022	13/7/2023	Distancia - MTD	7	1	8	7,71	Femenino	2022	feb-23	A-2-2023	Reinscripto	13/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
1173	Licenciatura En Informática	6/3/2023	7/6/2023	Distancia - MTD	12	0	8	8	Masculino	2023	feb-23	A-2-2023	Reinscripto	7/6/2023	Chubut	MATRICULA PAGA	ene-24	ene-24	4
1174	Abogacía	25/3/2019	13/7/2023	Distancia - MTD	5	1	9	9,06	Femenino	2019	feb-23	A-2-2023	Reinscripto	13/7/2023	Mendoza	MATRICULA PAGA	ene-24	feb-23	10
1175	Licenciatura En Criminología Y Seguridad	15/11/2019	5/6/2023	Distancia - ED	44	0	8	7,88	Masculino	2020	feb-23	A-2-2023	Reinscripto	5/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
1176	Licenciatura En Criminología Y Seguridad	15/11/2019	4/8/2023	Distancia - ED	44	0	8	7,88	Masculino	2020	feb-23	A-2-2023	Reinscripto	4/8/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
1177	Licenciatura En Gestión Turística	23/2/2022	6/6/2023	Distancia - MTD	25	0	7	7,27	Masculino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Santa Fe	MATRICULA PAGA	feb-24	feb-24	6
1178	Abogacía	17/8/2022	17/7/2023	Distancia - MTD	17	0	6	6,35	Sin dato	2022	feb-23	A-2-2023	Reinscripto	17/7/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	10
1179	Abogacía	3/7/2015	15/8/2023	Distancia - MTD	10	0	5	5,7	Masculino	2015	feb-23	A-2-2023	Reinscripto	15/8/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	3
1180	Licenciatura En Gestión De Recursos Humanos	2/5/2023	22/6/2023	Distancia - MTD	10	0	7	7,1	Femenino	2023	feb-23	A-2-2023	Reinscripto	22/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	8
1181	Licenciatura En Educación - Ciclo	26/10/2022	8/6/2023	Distancia - MTD	10	0	8	8,4	Masculino	2023	feb-23	A-2-2023	Reinscripto	8/6/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	8
1182	Licenciatura En Administración	3/3/2022	7/6/2023	Distancia - MTD	25	0	8	7,97	Masculino	2022	feb-23	A-2-2023	Reinscripto	7/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	10
1183	Licenciatura En Criminología Y Seguridad	16/2/2022	29/6/2023	Distancia - MTD	24	1	8	7,88	Masculino	2022	feb-23	A-2-2023	Reinscripto	29/6/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	10
1184	Licenciatura En Relaciones Públicas E Institucionales	4/5/2022	5/6/2023	Distancia - MTD	24	0	7	7,41	Sin dato	2022	feb-23	A-2-2023	Reinscripto	5/6/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	feb-24	feb-24	9
1185	Abogacía	5/4/2016	5/6/2023	Distancia - ED	12	1	8	7,8	Femenino	2016	feb-23	A-2-2023	Reinscripto	5/6/2023	Santiago Del Estero	MATRICULA PAGA	ene-24	ene-24	9
1186	Abogacía	15/11/2022	15/8/2023	Distancia - ED	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Reinscripto	15/8/2023	Santiago Del Estero	MATRICULA PAGA	feb-23	feb-23	4
1187	Licenciatura En Administración	13/6/2023	13/6/2023	Distancia - MTD	8	0	9	8,5	Masculino	2023	feb-23	A-2-2023	Ingresante	13/6/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	8
1188	Licenciatura En Educación - Ciclo	12/1/2021	3/7/2023	Distancia - MTD	15	0	7	7	Femenino	2021	feb-23	A-2-2023	Reinscripto	3/7/2023	Salta	MATRICULA PAGA	ene-24	ene-24	10
1189	Licenciatura En Psicología	26/5/2021	12/6/2023	PRESENCIAL.	22	1	8	7,73	Femenino	2021	feb-23	A-2-2023	Reinscripto	12/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	8
1190	Licenciatura En Diseño Y Animación Digital	11/4/2023	5/6/2023	Distancia - MTD	7	0	6	6	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	7
1191	Licenciatura En Gestión De Recursos Humanos	17/6/2020	11/6/2023	Distancia - MTD	41	0	9	8,57	Masculino	2020	feb-23	A-2-2023	Reinscripto	11/6/2023	Alemania	MATRICULA PAGA	ene-24	ene-24	10
1192	Contador Público	11/1/2023	27/7/2023	Distancia - MTD	0	0	0	0	Femenino	2023	feb-23	A-2-2023	Reinscripto	27/7/2023	Santa Fe	MATRICULA PAGA	feb-23	feb-23	4
1193	Abogacía	2/7/2012	11/7/2023	Distancia - ED	23	0	7	8,24	Masculino	2013	feb-23	A-2-2023	Reinscripto	11/7/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	10
1194	Licenciatura En Educación - Ciclo	14/6/2019	8/8/2023	Distancia - MTD	15	1	6	5,73	Femenino	2019	feb-23	A-2-2023	Reinscripto	8/8/2023	Salta	MATRICULA PAGA	ene-24	feb-23	1
1195	Licenciatura En Educación - Ciclo	28/9/2021	28/8/2023	Distancia - MTD	15	0	8	8,33	Femenino	2021	feb-23	B-2-2023	Reinscripto	28/8/2023	La Rioja	MATRICULA PAGA	feb-23	ene-23	9
1196	Licenciatura En Matemática	28/12/2022	13/6/2023	Distancia - MTD	7	0	9	8,71	Femenino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Sin datos	MATRICULA PAGA	feb-23	feb-23	9
1197	Tecnicatura Universitaria En Promoción Comunitaria En Niñez Y Adolescencia	25/2/2023	29/6/2023	Distancia - MTD	8	0	8	7,5	Femenino	2023	feb-23	A-2-2023	Reinscripto	29/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
1198	Licenciatura En Informática	8/11/2022	9/6/2023	Distancia - MTD	5	0	8	7,8	Masculino	2023	feb-23	A-2-2023	Reinscripto	9/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
1199	Abogacía	16/2/2023	30/8/2023	Distancia - MTD	0	0	0	0	Femenino	2023	feb-23	B-2-2023	Reinscripto	30/8/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	7
1200	Licenciatura En Administración	12/6/2017	14/6/2023	Distancia - MTD	13	0	8	7,92	Femenino	2023	feb-23	A-2-2023	Reinscripto	14/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
1201	Abogacía	16/10/2018	9/8/2023	Distancia - MTD	4	1	7	7,39	Masculino	2018	feb-23	A-2-2023	Reinscripto	9/8/2023	Neuquen	MATRICULA PAGA	ene-24	feb-23	8
1202	Licenciatura En Ciencia De Datos	4/4/2023	12/6/2023	Distancia - MTD	6	1	8	8,33	Masculino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	10
1203	Martillero, Corredor Público Y Corredor Inmobiliario	17/3/2023	10/8/2023	Distancia - MTD	7	0	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	10/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
1204	Abogacía	24/2/2017	26/7/2023	Distancia - ED	31	0	7	7,61	Femenino	2017	feb-23	A-2-2023	Reinscripto	26/7/2023	Jujuy	MATRICULA PAGA	ene-24	ene-24	9
1205	Abogacía	5/11/2018	21/7/2023	Distancia - ED	5	0	8	8,39	Masculino	2019	feb-23	A-2-2023	Reinscripto	21/7/2023	San Juan	MATRICULA PAGA	feb-23	ene-23	10
1206	Licenciatura En Administración Agraria	22/2/2023	7/6/2023	Distancia - MTD	14	0	8	7,68	Femenino	2023	feb-23	A-2-2023	Reinscripto	7/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
1207	Licenciatura En Administración Agraria	10/2/2022	21/6/2023	Distancia - MTD	4	3	5	6	Masculino	2022	feb-23	A-2-2023	Reinscripto	21/6/2023	Chubut	MATRICULA PAGA	feb-23	feb-23	9
1208	Tecnicatura En Responsabilidad Y Gestión Social	6/1/2021	7/7/2023	Distancia - MTD	18	0	7	7,44	Femenino	2021	feb-23	A-2-2023	Reinscripto	7/7/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	8
1209	Abogacía	1/12/2015	9/8/2023	Distancia - ED	5	0	5	6,08	Femenino	2016	feb-23	A-2-2023	Reinscripto	9/8/2023	San Juan	MATRICULA PAGA	feb-23	ene-23	9
1210	Licenciatura En Administración Pública	26/3/2020	23/6/2023	Distancia - MTD	43	0	9	8,5	Femenino	2020	feb-23	A-2-2023	Reinscripto	23/6/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	8
1211	Tecnicatura En Higiene Y Seguridad Laboral	1/12/2022	18/7/2023	Distancia - ED	6	0	7	8	Masculino	2023	feb-23	A-2-2023	Reinscripto	18/7/2023	San Juan	MATRICULA PAGA	ene-24	ene-24	10
1212	Abogacía	12/3/2021	16/6/2023	Distancia - MTD	23	0	7	7,46	Masculino	2021	feb-23	A-2-2023	Reinscripto	16/6/2023	San Juan	MATRICULA PAGA	ene-24	ene-24	10
1213	Licenciatura En Gestión De Recursos Humanos	24/7/2023	24/7/2023	Distancia - MTD	1	0	8	8	Femenino	2023	feb-23	A-2-2023	Ingresante	24/7/2023	La Rioja	MATRICULA PAGA	feb-23	feb-23	10
1214	Licenciatura En Comercio Internacional	20/9/2021	28/6/2023	Distancia - MTD	28	0	8	7,85	Femenino	2021	feb-23	A-2-2023	Reinscripto	28/6/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	8
1215	Licenciatura En Educación - Ciclo	4/10/2021	25/8/2023	Distancia - MTD	16	0	7	7,38	Femenino	2021	feb-23	B-2-2023	Reinscripto	25/8/2023	La Rioja	MATRICULA PAGA	feb-23	ene-23	10
1216	Licenciatura En Psicología	20/2/2021	9/7/2023	PRESENCIAL.	25	0	7	8	Masculino	2021	feb-23	A-2-2023	Reinscripto	9/7/2023	Cordoba	MATRICULA PAGA	feb-24	feb-24	0
1217	Abogacía	30/6/2021	19/6/2023	Distancia - MTD	26	0	9	8,79	Masculino	2021	feb-23	A-2-2023	Reinscripto	19/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	7
1218	Licenciatura En Educación - Ciclo	26/10/2022	7/6/2023	Distancia - MTD	10	0	9	8,8	Femenino	2023	feb-23	A-2-2023	Reinscripto	7/6/2023	San Luis	MATRICULA PAGA	ene-24	ene-24	2
1219	Escribanía-Ciclo	5/5/2023	12/6/2023	Distancia - MTD	8	0	8	8	Femenino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	1
1220	Tecnicatura Universitaria En Promoción Comunitaria En Niñez Y Adolescencia	4/11/2022	5/6/2023	Distancia - MTD	8	0	8	8,25	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Mendoza	MATRICULA PAGA	feb-24	feb-24	8
1221	Licenciatura En Higiene, Seguridad Y Medio Ambiente Del Trabajo	22/10/2019	7/8/2023	Distancia - MTD	30	0	6	6,06	Masculino	2020	feb-23	A-2-2023	Reinscripto	7/8/2023	Neuquen	MATRICULA PAGA	feb-23	ene-23	5
1222	Tecnicatura En Higiene Y Seguridad Laboral	7/7/2023	7/7/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Ingresante	7/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	10
1223	Abogacía	8/2/2023	16/6/2023	Distancia - MTD	6	0	8	8,17	Femenino	2023	feb-23	A-2-2023	Reinscripto	16/6/2023	La Pampa	MATRICULA PAGA	ene-24	feb-23	10
1224	Abogacía	27/7/2022	26/6/2023	Distancia - MTD	8	2	5	5,5	Femenino	2022	feb-23	A-2-2023	Reinscripto	26/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
1225	Abogacía	8/9/2021	4/9/2023	Distancia - MTD	17	0	8	8,38	Masculino	2021	feb-23	B-2-2023	Reinscripto	4/9/2023	Misiones	MATRICULA PAGA	feb-23	ene-23	8
1226	Licenciatura En Comercialización	30/9/2014	24/7/2023	Distancia - MTD	42	0	8	7,6	Femenino	2014	feb-23	A-2-2023	Reinscripto	24/7/2023	Buenos Aires	MATRICULA PAGA	ene-24	feb-23	4
1227	Martillero, Corredor Público Y Corredor Inmobiliario	23/11/2022	6/6/2023	Distancia - MTD	12	0	8	8,42	Masculino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	9
1228	Tecnicatura Universitaria En Enfermería	23/2/2022	11/7/2023	PRESENCIAL.	22	0	8	8,32	Femenino	2022	feb-23	A-2-2023	Reinscripto	11/7/2023	Cordoba	BAJA CARRERA	ene-24	ene-24	8
1229	Licenciatura En Ciencia De Datos	26/5/2023	29/6/2023	Distancia - MTD	10	1	8	7,8	Femenino	2023	feb-23	A-2-2023	Reinscripto	29/6/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	4
1230	Procurador	23/3/2023	13/6/2023	Distancia - ED	13	0	8	7,81	Femenino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Chaco	MATRICULA PAGA	feb-24	feb-24	10
1231	Martillero, Corredor Público Y Corredor Inmobiliario	9/3/2022	9/6/2023	Distancia - MTD	16	0	9	8,81	Masculino	2022	feb-23	A-2-2023	Reinscripto	9/6/2023	Chubut	MATRICULA PAGA	ene-24	ene-24	9
1232	Abogacía	2/6/2022	17/6/2023	Distancia - MTD	22	0	8	8,32	Masculino	2022	feb-23	A-2-2023	Reinscripto	17/6/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	8
1233	Contador Público	12/3/2020	15/6/2023	Distancia - MTD	14	0	9	8,56	Femenino	2020	feb-23	A-2-2023	Reinscripto	15/6/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	0
1234	Martillero, Corredor Público Y Corredor Inmobiliario	26/7/2018	5/6/2023	Distancia - MTD	9	0	8	8,22	Femenino	2023	feb-23	A-2-2023	Reinscripto	5/6/2023	Mendoza	MATRICULA PAGA	feb-24	feb-24	9
1235	Abogacía	17/4/2019	11/6/2023	Distancia - MTD	8	0	8	8,36	Masculino	2019	feb-23	A-2-2023	Reinscripto	11/6/2023	Salta	MATRICULA PAGA	ene-24	feb-23	10
1236	Licenciatura En Administración	25/9/2012	14/7/2023	Distancia - ED	37	3	7	6,88	Masculino	2012	feb-23	A-2-2023	Reinscripto	14/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-23	7
1237	Licenciatura En Matemática	26/1/2023	20/7/2023	Distancia - MTD	10	0	8	8,3	Masculino	2023	feb-23	A-2-2023	Reinscripto	20/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	5
1238	Actuario	31/3/2023	6/9/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	B-2-2023	Reinscripto	6/9/2023	La Rioja	MATRICULA PAGA	feb-23	feb-23	10
1239	Licenciatura En Administración	12/8/2022	6/6/2023	Presencial HOME	23	1	9	9	Masculino	2022	feb-23	A-2-2023	Reinscripto	6/6/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	7
1240	Tecnicatura En Gestión De Empresas Familiares	5/8/2022	13/7/2023	Distancia - MTD	11	0	9	8,77	Femenino	2022	feb-23	A-2-2023	Reinscripto	13/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	9
1241	Contador Público	6/7/2021	6/6/2023	Distancia - ED	25	0	8	7,84	Masculino	2021	feb-23	A-2-2023	Reinscripto	6/6/2023	Chaco	MATRICULA PAGA	ene-24	feb-23	0
1242	Tecnicatura Universitaria En Hidrocarburos Y Geociencia	24/2/2023	12/6/2023	Distancia - MTD	5	0	8	7,6	Masculino	2023	feb-23	A-2-2023	Reinscripto	12/6/2023	Santa Cruz	MATRICULA PAGA	ene-24	ene-24	10
1243	Martillero, Corredor Público Y Corredor Inmobiliario	13/3/2023	23/6/2023	Distancia - MTD	12	0	9	8,75	Masculino	2023	feb-23	A-2-2023	Reinscripto	23/6/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	0
1244	Abogacía	2/2/2017	22/8/2023	Distancia - ED	6	1	6	6,78	Masculino	2017	feb-23	B-2-2023	Reinscripto	22/8/2023	San Luis	MATRICULA PAGA	feb-23	ene-23	9
1245	Contador Público	7/3/2023	6/6/2023	Distancia - MTD	11	0	8	7,55	Femenino	2023	feb-23	A-2-2023	Reinscripto	6/6/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	5
1246	Profesorado Universitario Para El Nivel Secundario Y Superior	5/5/2023	5/5/2023	Presencial HOME	9	0	9	8,56	Masculino	2023	feb-23	A-2-2023	Ingresante	5/5/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	10
1247	Tecnicatura En Higiene Y Seguridad Laboral	8/3/2023	13/6/2023	Distancia - ED	8	0	8	8,13	Masculino	2023	feb-23	A-2-2023	Reinscripto	13/6/2023	Buenos Aires	MATRICULA PAGA	feb-24	feb-24	7
1248	Licenciatura En Inteligencia Artificial Y Robótica	10/2/2023	12/7/2023	Distancia - MTD	1	0	7	7	Masculino	2023	feb-23	A-2-2023	Reinscripto	12/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	7
1249	Abogacía	28/2/2020	21/6/2023	Distancia - MTD	1	0	8	9,04	Masculino	2020	feb-23	A-2-2023	Reinscripto	21/6/2023	Tucuman	MATRICULA PAGA	feb-23	feb-23	7
1250	Tecnicatura Universitaria En Gestión Administrativa De Servicios De Salud	30/7/2023	30/7/2023	Distancia - MTD	1	0	8	8	Femenino	2023	feb-23	A-2-2023	Ingresante	30/7/2023	Chubut	MATRICULA PAGA	feb-23	feb-23	9
1251	Licenciatura En Administración	21/2/2017	4/7/2023	Distancia - MTD	43	1	8	8,31	Femenino	2017	feb-23	A-2-2023	Reinscripto	4/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-23	7
1252	Martillero, Corredor Público Y Corredor Inmobiliario	30/11/2021	21/6/2023	Distancia - MTD	15	0	9	9	Masculino	2022	feb-23	A-2-2023	Reinscripto	21/6/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	0
1253	Licenciatura En Higiene, Seguridad Y Medio Ambiente Del Trabajo	18/7/2019	21/6/2023	Distancia - MTD	30	0	8	7,77	Masculino	2021	feb-23	A-2-2023	Reinscripto	21/6/2023	La Pampa	MATRICULA PAGA	ene-24	feb-23	10
1254	Abogacía	10/9/2015	3/7/2023	Distancia - MTD	10	0	7	6,52	Femenino	2015	feb-23	A-2-2023	Reinscripto	3/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
1255	Abogacía	10/9/2015	19/7/2023	Distancia - MTD	10	0	7	6,52	Femenino	2015	feb-23	A-2-2023	Reinscripto	19/7/2023	Cordoba	MATRICULA PAGA	ene-24	ene-24	9
1256	Licenciatura En Informática	7/3/2023	25/7/2023	Distancia - MTD	2	0	9	9	Masculino	2023	feb-23	A-2-2023	Reinscripto	25/7/2023	Buenos Aires	MATRICULA PAGA	feb-23	feb-23	4
1257	Abogacía	11/8/2023	11/8/2023	Distancia - MTD	6	0	9	8,5	Femenino	2023	feb-23	A-2-2023	Ingresante	11/8/2023	Neuquen	MATRICULA PAGA	ene-24	ene-24	7
1258	Abogacía	7/12/2021	23/8/2023	Distancia - MTD	7	0	7	8	Femenino	2022	feb-23	A-2-2023	Reinscripto	23/8/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	8
1259	Abogacía	1/3/2022	20/7/2023	Distancia - MTD	21	0	6	7,1	Femenino	2022	feb-23	A-2-2023	Reinscripto	20/7/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	6
1260	Tecnicatura Universitaria En Marketing Y Publicidad Digital	25/3/2022	28/7/2023	Distancia - MTD	8	1	6	6,88	Femenino	2022	feb-23	A-2-2023	Reinscripto	28/7/2023	Ciudad Autonoma De Buenos Aires	MATRICULA PAGA	feb-23	feb-23	7
1261	Licenciatura En Matemática	2/8/2022	8/8/2023	Distancia - MTD	0	0	0	0	Masculino	2023	feb-23	A-2-2023	Reinscripto	8/8/2023	Formosa	MATRICULA PAGA	ene-24	ene-24	10
1262	Contador Público	21/10/2019	22/6/2023	Distancia - ED	19	1	8	8,41	Femenino	2020	feb-23	A-2-2023	Reinscripto	22/6/2023	Santiago Del Estero	MATRICULA PAGA	ene-24	ene-23	6
1263	Contador Público	24/8/2020	13/6/2023	Distancia - ED	14	3	8	8,48	Masculino	2020	feb-23	A-2-2023	Reinscripto	13/6/2023	Entre Rios	MATRICULA PAGA	ene-24	ene-24	9
1264	Licenciatura En Ciencia Política Y Gobierno	8/2/2023	10/7/2023	Distancia - MTD	6	1	7	7,33	Masculino	2023	feb-23	A-2-2023	Reinscripto	10/7/2023	Santa Fe	MATRICULA PAGA	ene-24	ene-24	10
1265	Escribanía-Ciclo	9/5/2023	4/7/2023	Distancia - MTD	8	0	8	8,13	Femenino	2023	feb-23	A-2-2023	Reinscripto	4/7/2023	Tierra Del Fuego	MATRICULA PAGA	ene-24	ene-24	9
1266	Tecnicatura En Higiene Y Seguridad Laboral	25/8/2021	16/7/2023	Distancia - MTD	16	0	8	8,13	Masculino	2021	feb-23	A-2-2023	Reinscripto	16/7/2023	Formosa	MATRICULA PAGA	ene-24	ene-24	5
1267	Tecnicatura Universitaria En Gestión Administrativa De Servicios De Salud	8/8/2023	8/8/2023	Distancia - MTD	3	1	7	7	Femenino	2023	feb-23	A-2-2023	Ingresante	8/8/2023	Buenos Aires	MATRICULA PAGA	ene-24	ene-24	10
1268	Abogacía	6/2/2023	21/6/2023	Distancia - MTD	8	2	8	7,88	Femenino	2023	feb-23	A-2-2023	Reinscripto	21/6/2023	Sin datos	MATRICULA PAGA	ene-24	ene-24	10
1269	Abogacía	3/4/2019	4/8/2023	Distancia - MTD	14	0	6	6,35	Femenino	2019	feb-23	A-2-2023	Reinscripto	4/8/2023	Mendoza	MATRICULA PAGA	ene-24	ene-24	3
1270	Abogacía	14/3/2022	11/7/2023	Distancia - MTD	23	0	8	8	Masculino	2022	feb-23	A-2-2023	Reinscripto	11/7/2023	Tucuman	MATRICULA PAGA	ene-24	ene-24	9
1271	Ingeniería En Software	18/1/2023	10/6/2023	Presencial HOME	5	0	8	7,8	Masculino	2023	feb-23	A-2-2023	Reinscripto	10/6/2023	Cordoba	MATRICULA PAGA	feb-23	feb-23	10
